id,code,name,chart_template_id/id,user_type_id/id,tag_ids/id,group_id/id,reconcile
ac_410205,4.1.02.05,PRESTACIÓN DE SERVICIOS DE MANTENIMIENTO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4102,False
ac_410206,4.1.02.06,PRESTACIÓN DE SERVICIOS DE INFORMACION ELECTRONICA,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4102,False
ac_410299,4.1.02.99,OTRAS PRESTACIÓNES DE SERVICIOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4102,False
ac_4103,4.1.03,CONTRATOS DE CONSTRUCCIÓN,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4104,4.1.04,SUBVENCIONES DEL GOBIERNO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4105,4.1.05,REGALÍAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_410601,4.1.06.01,INTERESES GENERADOS POR VENTAS A CRÉDITO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4106,False
ac_410602,4.1.06.02,OTROS INTERESES GENERADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4106,False
ac_4107,4.1.07,DIVIDENDOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4108,4.1.08,GANANCIA POR MEDICIÓN A VALOR RAZONABLE ACTIVOS BIOLÓGICOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4109,4.1.09,OTROS INGRESOS DE ACTIVIDADES ORDINARIAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4110,4.1.10,(-) DESCUENTO EN VENTAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4111,4.1.11,(-) DEVOLUCIONES EN VENTAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4112,4.1.12,(-) BONIFICACIÓN EN PRODUCTO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4113,4.1.13,(-) OTRAS REBAJAS COMERCIALES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_4301,4.3.01,DIVIDENDOS ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_other_income,account.account_tag_operating,l10n_ec_oodca.group_43,False
ac_4302,4.3.02,INTERESES FINANCIEROS ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_other_income,account.account_tag_operating,l10n_ec_oodca.group_43,False
ac_4303,4.3.03,GANANCIA EN INVERSIONES EN ASOCIADAS - SUBSIDIARIAS Y OTRAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_other_income,account.account_tag_operating,l10n_ec_oodca.group_43,False
ac_4304,4.3.04,VALUACIÓN INSTR.FINANC.A VALOR RAZON.Y CAMBIO EN RESULTADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_other_income,account.account_tag_operating,l10n_ec_oodca.group_43,False
ac_4305,4.3.05,OTRAS RENTAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_other_income,account.account_tag_operating,l10n_ec_oodca.group_43,False
ac_510102,5.1.01.02,(+) COMPRAS NETAS LOCALES BIENES NO PRODUCIDOS EN LA COMPAÑÍA,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5101,False
ac_510103,5.1.01.03,(+) IMPORTACIONES DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5101,False
ac_510106,5.1.01.06,(+) COMPRAS NETAS LOCALES DE MATERIA PRIMA,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5101,False
ac_510107,5.1.01.07,(+) IMPORTACIONES DE MATERIA PRIMA,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5101,False
ac_510121,5.1.01.21,(+) PRODUCTOS TERMINADOS O PRODUCIDOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5101,False
ac_510201,5.1.02.01,SUELDOS Y BENEFICIOS SOCIALES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5102,False
ac_510202,5.1.02.02,GASTO PLANES DE BENEFICIOS A EMPLEADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5102,False
ac_510301,5.1.03.01,SUELDOS Y BENEFICIOS SOCIALES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5103,False
ac_510302,5.1.03.02,GASTO PLANES DE BENEFICIOS A EMPLEADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_direct_costs,account.account_tag_operating,l10n_ec_oodca.group_5103,False
